@id,@type,elevation,station,stationId,stationName,timestamp,rawMessage,textDescription,icon,presentWeather,temperature,dewpoint,windDirection,windSpeed,windGust,barometricPressure,seaLevelPressure,visibility,maxTemperatureLast24Hours,minTemperatureLast24Hours,precipitationLast3Hours,relativeHumidity,windChill,heatIndex,cloudLayers,ingestionDatetime
https://api.weather.gov/stations/002SE/observations/2025-06-23T23:40:00+00:00,wx:ObservationStation,"{'unitCode': 'wmoUnit:m', 'value': 196.9}",https://api.weather.gov/stations/002SE,002SE,SCE Native Ave,2025-06-23T23:40:00+00:00,,,,[],"{'unitCode': 'wmoUnit:degC', 'value': 22.66, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 15.08, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degree_(angle)', 'value': 221.8, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': 12.096, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:m', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:mm', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:percent', 'value': 62.285736035541, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 22.607905329816667, 'qualityControl': 'V'}",[],2025-06-24 13:32:14
https://api.weather.gov/stations/002SE/observations/2025-06-23T23:20:00+00:00,wx:ObservationStation,"{'unitCode': 'wmoUnit:m', 'value': 196.9}",https://api.weather.gov/stations/002SE,002SE,SCE Native Ave,2025-06-23T23:20:00+00:00,,,,[],"{'unitCode': 'wmoUnit:degC', 'value': 22.72, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 15.07, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degree_(angle)', 'value': 230.6, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': 10.908, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:m', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:mm', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:percent', 'value': 62.019552202342, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 22.66695497417222, 'qualityControl': 'V'}",[],2025-06-24 13:32:14
https://api.weather.gov/stations/002SE/observations/2025-06-23T22:20:00+00:00,wx:ObservationStation,"{'unitCode': 'wmoUnit:m', 'value': 196.9}",https://api.weather.gov/stations/002SE,002SE,SCE Native Ave,2025-06-23T22:20:00+00:00,,,,[],"{'unitCode': 'wmoUnit:degC', 'value': 22.54, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 15.22, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degree_(angle)', 'value': 226.9, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': 8.352, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:m', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:mm', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:percent', 'value': 63.308088797212, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 22.502600096371665, 'qualityControl': 'V'}",[],2025-06-24 13:32:14
https://api.weather.gov/stations/002SE/observations/2025-06-23T22:00:00+00:00,wx:ObservationStation,"{'unitCode': 'wmoUnit:m', 'value': 196.9}",https://api.weather.gov/stations/002SE,002SE,SCE Native Ave,2025-06-23T22:00:00+00:00,,,,[],"{'unitCode': 'wmoUnit:degC', 'value': 22.44, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 15.39, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degree_(angle)', 'value': 242.9, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': 8.856, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:m', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:mm', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:percent', 'value': 64.392640711048, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 22.420918951899445, 'qualityControl': 'V'}",[],2025-06-24 13:32:14
https://api.weather.gov/stations/002SE/observations/2025-06-23T21:50:00+00:00,wx:ObservationStation,"{'unitCode': 'wmoUnit:m', 'value': 196.9}",https://api.weather.gov/stations/002SE,002SE,SCE Native Ave,2025-06-23T21:50:00+00:00,,,,[],"{'unitCode': 'wmoUnit:degC', 'value': 22.43, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 15.38, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degree_(angle)', 'value': 256.2, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': 11.592, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': 23.508, 'qualityControl': 'S'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:m', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:mm', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:percent', 'value': 64.390476213863, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 22.409862434473332, 'qualityControl': 'V'}",[],2025-06-24 13:32:14
https://api.weather.gov/stations/002SE/observations/2025-06-23T20:00:00+00:00,wx:ObservationStation,"{'unitCode': 'wmoUnit:m', 'value': 196.9}",https://api.weather.gov/stations/002SE,002SE,SCE Native Ave,2025-06-23T20:00:00+00:00,,,,[],"{'unitCode': 'wmoUnit:degC', 'value': 22.98, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 15.29, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degree_(angle)', 'value': 244.8, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': 9.612, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:m', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:mm', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:percent', 'value': 61.919163841064, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 22.950333722516667, 'qualityControl': 'V'}",[],2025-06-24 13:32:14
https://api.weather.gov/stations/002SE/observations/2025-06-23T19:20:00+00:00,wx:ObservationStation,"{'unitCode': 'wmoUnit:m', 'value': 196.9}",https://api.weather.gov/stations/002SE,002SE,SCE Native Ave,2025-06-23T19:20:00+00:00,,,,[],"{'unitCode': 'wmoUnit:degC', 'value': 22.26, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 14.71, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degree_(angle)', 'value': 247.7, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': 10.044, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:m', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:mm', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:percent', 'value': 62.315940968854, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 22.168694014186666, 'qualityControl': 'V'}",[],2025-06-24 13:32:14
https://api.weather.gov/stations/002SE/observations/2025-06-23T19:00:00+00:00,wx:ObservationStation,"{'unitCode': 'wmoUnit:m', 'value': 196.9}",https://api.weather.gov/stations/002SE,002SE,SCE Native Ave,2025-06-23T19:00:00+00:00,,,,[],"{'unitCode': 'wmoUnit:degC', 'value': 22.08, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 14.64, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degree_(angle)', 'value': 245.5, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': 7.272, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:m', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:mm', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:percent', 'value': 62.719026269658, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 21.98121901926333, 'qualityControl': 'V'}",[],2025-06-24 13:32:14
https://api.weather.gov/stations/002SE/observations/2025-06-23T18:10:00+00:00,wx:ObservationStation,"{'unitCode': 'wmoUnit:m', 'value': 196.9}",https://api.weather.gov/stations/002SE,002SE,SCE Native Ave,2025-06-23T18:10:00+00:00,,,,[],"{'unitCode': 'wmoUnit:degC', 'value': 21.08, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': 13.93, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degree_(angle)', 'value': 228.4, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': 6.264, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:km_h-1', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:m', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:mm', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:percent', 'value': 63.682367665736, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'V'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'V'}",[],2025-06-24 13:32:14
https://api.weather.gov/stations/002SE/observations/2025-06-23T18:00:00+00:00,wx:ObservationStation,"{'unitCode': 'wmoUnit:m', 'value': 196.9}",https://api.weather.gov/stations/002SE,002SE,SCE Native Ave,2025-06-23T18:00:00+00:00,,,,[],"{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degree_(angle)', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:km_h-1', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:km_h-1', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:Pa', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:m', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': None}","{'unitCode': 'wmoUnit:mm', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:percent', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'Z'}","{'unitCode': 'wmoUnit:degC', 'value': None, 'qualityControl': 'Z'}",[],2025-06-24 13:32:14
